primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_eaBXhNiLMp,Jon,Tupou,MR_OFFICER,+260911111111,j.tupou,impactexpansionteam@gmail.com,test
CRVS_OFFICE_JEhYJ82xRI,Kalusha,Bwalya,MR_OFFICER,+260911111117,k.bwalya,spccodportal@gmail.com,test
CRVS_OFFICE_2OKicPQMNI,Felix,Katongo,CODING_OFFICER,+260922222222,f.katongo,spccodporta.l@gmail.com,test
CRVS_OFFICE_2OKicPQMNI,Kennedy,Mweene,CODING_OFFICER,+260933333333,k.mweene,spccodport.al@gmail.com,test
CRVS_OFFICE_2OKicPQMNI,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,+260921111111,j.campbell,spccodpor.tal@gmail.com,test
CRVS_OFFICE_JWMRGwDBXK,Sionepaea,Kumitau,MR_OFFICER,+260911111114,s.kumitau,spccodpo.rtal@gmail.com,test
CRVS_OFFICE_JEhYJ82xRI,Serevi,Waisale,MR_OFFICER,+260911111115,s.waisale,spccodp.ortal@gmail.com,test
CRVS_OFFICE_eaBXhNiLMp,Jona,Lomu,MR_OFFICER,+260911111116,j.lomu,kelsmataitog.a@gmail.com,test
CRVS_OFFICE_JEhYJ82xRI,Semi,Radradra,MR_OFFICER,+260911111118,s.radradra,kelsmataito.ga@gmail.com,test
CRVS_OFFICE_2OKicPQMNI,Kelesita,Mataitoga,CODING_OFFICER,+260911111119,k.mataitoga,kelsmatait.oga@gmail.com,test
CRVS_OFFICE_2OKicPQMNI,Leone,Nakarawa,NATIONAL_SYSTEM_ADMIN,+260911111120,l.nakarawa,kelsmatai.toga@gmail.com,test
CRVS_OFFICE_eaBXhNiLMp,John,Eales,MR_OFFICER,+260911111121,j.eales,llmoran8.3@gmail.com,test
CRVS_OFFICE_JEhYJ82xRI,David,Campese,MR_OFFICER,+260911111122,d.campese,llmoran.83@gmail.com,test
CRVS_OFFICE_2OKicPQMNI,Lauren,Moran,CODING_OFFICER,+260911111123,l.moran,llmoran83@gmail.com,test
CRVS_OFFICE_2OKicPQMNI,Suzy,Batkovic,NATIONAL_SYSTEM_ADMIN,+260911111124,s.batkovic,llmora.n83@gmail.com,test
